CP949_text,CP949_code
갂,0x8141
갃,0x8142
갅,0x8143
갆,0x8144
갋,0x8145
갌,0x8146
갍,0x8147
갎,0x8148
갏,0x8149
갘,0x814A
갞,0x814B
갟,0x814C
갡,0x814D
갢,0x814E
갣,0x814F
갥,0x8150
갦,0x8151
갧,0x8152
갨,0x8153
갩,0x8154
갪,0x8155
갫,0x8156
갮,0x8157
갲,0x8158
갳,0x8159
갴,0x815A
갵,0x8161
갶,0x8162
갷,0x8163
갺,0x8164
갻,0x8165
갽,0x8166
갾,0x8167
갿,0x8168
걁,0x8169
걂,0x816A
걃,0x816B
걄,0x816C
걅,0x816D
걆,0x816E
걇,0x816F
걈,0x8170
걉,0x8171
걊,0x8172
걌,0x8173
걎,0x8174
걏,0x8175
걐,0x8176
걑,0x8177
걒,0x8178
걓,0x8179
걕,0x817A
걖,0x8181
걗,0x8182
걙,0x8183
걚,0x8184
걛,0x8185
걝,0x8186
걞,0x8187
걟,0x8188
걠,0x8189
걡,0x818A
걢,0x818B
걣,0x818C
걤,0x818D
걥,0x818E
걦,0x818F
걧,0x8190
걨,0x8191
걩,0x8192
걪,0x8193
걫,0x8194
걬,0x8195
걭,0x8196
걮,0x8197
걯,0x8198
걲,0x8199
걳,0x819A
걵,0x819B
걶,0x819C
걹,0x819D
걻,0x819E
걼,0x819F
걽,0x81A0
걾,0x81A1
걿,0x81A2
겂,0x81A3
겇,0x81A4
겈,0x81A5
겍,0x81A6
겎,0x81A7
겏,0x81A8
겑,0x81A9
겒,0x81AA
겓,0x81AB
겕,0x81AC
겖,0x81AD
겗,0x81AE
겘,0x81AF
겙,0x81B0
겚,0x81B1
겛,0x81B2
겞,0x81B3
겢,0x81B4
겣,0x81B5
겤,0x81B6
겥,0x81B7
겦,0x81B8
겧,0x81B9
겫,0x81BA
겭,0x81BB
겮,0x81BC
겱,0x81BD
겲,0x81BE
겳,0x81BF
겴,0x81C0
겵,0x81C1
겶,0x81C2
겷,0x81C3
겺,0x81C4
겾,0x81C5
겿,0x81C6
곀,0x81C7
곂,0x81C8
곃,0x81C9
곅,0x81CA
곆,0x81CB
곇,0x81CC
곉,0x81CD
곊,0x81CE
곋,0x81CF
곍,0x81D0
곎,0x81D1
곏,0x81D2
곐,0x81D3
곑,0x81D4
곒,0x81D5
곓,0x81D6
곔,0x81D7
곖,0x81D8
곘,0x81D9
곙,0x81DA
곚,0x81DB
곛,0x81DC
곜,0x81DD
곝,0x81DE
곞,0x81DF
곟,0x81E0
곢,0x81E1
곣,0x81E2
곥,0x81E3
곦,0x81E4
곩,0x81E5
곫,0x81E6
곭,0x81E7
곮,0x81E8
곲,0x81E9
곴,0x81EA
곷,0x81EB
곸,0x81EC
곹,0x81ED
곺,0x81EE
곻,0x81EF
곾,0x81F0
곿,0x81F1
괁,0x81F2
괂,0x81F3
괃,0x81F4
괅,0x81F5
괇,0x81F6
괈,0x81F7
괉,0x81F8
괊,0x81F9
괋,0x81FA
괎,0x81FB
괐,0x81FC
괒,0x81FD
괓,0x81FE
괔,0x8241
괕,0x8242
괖,0x8243
괗,0x8244
괙,0x8245
괚,0x8246
괛,0x8247
괝,0x8248
괞,0x8249
괟,0x824A
괡,0x824B
괢,0x824C
괣,0x824D
괤,0x824E
괥,0x824F
괦,0x8250
괧,0x8251
괨,0x8252
괪,0x8253
괫,0x8254
괮,0x8255
괯,0x8256
괰,0x8257
괱,0x8258
괲,0x8259
괳,0x825A
괶,0x8261
괷,0x8262
괹,0x8263
괺,0x8264
괻,0x8265
괽,0x8266
괾,0x8267
괿,0x8268
굀,0x8269
굁,0x826A
굂,0x826B
굃,0x826C
굆,0x826D
굈,0x826E
굊,0x826F
굋,0x8270
굌,0x8271
굍,0x8272
굎,0x8273
굏,0x8274
굑,0x8275
굒,0x8276
굓,0x8277
굕,0x8278
굖,0x8279
굗,0x827A
굙,0x8281
굚,0x8282
굛,0x8283
굜,0x8284
굝,0x8285
굞,0x8286
