ㄱ,0xA4A1   ,ㄲ,0xA4A2   ,ㄳ,0xA4A3   ,ㄴ,0xA4A4   ,ㄵ,0xA4A5
ㄶ,0xA4A6   ,ㄷ,0xA4A7   ,ㄸ,0xA4A8   ,ㄹ,0xA4A9   ,ㄺ,0xA4AA
ㄻ,0xA4AB   ,ㄼ,0xA4AC   ,ㄽ,0xA4AD   ,ㄾ,0xA4AE   ,ㄿ,0xA4AF
ㅀ,0xA4B0   ,ㅁ,0xA4B1   ,ㅂ,0xA4B2   ,ㅃ,0xA4B3   ,ㅄ,0xA4B4
ㅅ,0xA4B5   ,ㅆ,0xA4B6   ,ㅇ,0xA4B7   ,ㅈ,0xA4B8   ,ㅉ,0xA4B9
ㅊ,0xA4BA   ,ㅋ,0xA4BB   ,ㅌ,0xA4BC   ,ㅍ,0xA4BD   ,ㅎ,0xA4BE
ㅏ,0xA4BF   ,ㅐ,0xA4C0   ,ㅑ,0xA4C1   ,ㅒ,0xA4C2   ,ㅓ,0xA4C3
ㅔ,0xA4C4   ,ㅕ,0xA4C5   ,ㅖ,0xA4C6   ,ㅗ,0xA4C7   ,ㅘ,0xA4C8
ㅙ,0xA4C9   ,ㅚ,0xA4CA   ,ㅛ,0xA4CB   ,ㅜ,0xA4CC   ,ㅝ,0xA4CD
ㅞ,0xA4CE   ,ㅟ,0xA4CF   ,ㅠ,0xA4D0   ,ㅡ,0xA4D1   ,ㅢ,0xA4D2
ㅣ,0xA4D3,,,,,,,,
가,0xB0A1   ,각,0xB0A2   ,간,0xB0A3   ,갇,0xB0A4   ,갈,0xB0A5    
갉,0xB0A6   ,갊,0xB0A7   ,감,0xB0A8   ,갑,0xB0A9   ,값,0xB0AA
갓,0xB0AB   ,갔,0xB0AC   ,강,0xB0AD   ,갖,0xB0AE   ,갗,0xB0AF
같,0xB0B0   ,갚,0xB0B1   ,갛,0xB0B2   ,개,0xB0B3   ,객,0xB0B4
갠,0xB0B5   ,갤,0xB0B6   ,갬,0xB0B7   ,갭,0xB0B8   ,갯,0xB0B9
갰,0xB0BA   ,갱,0xB0BB   ,갸,0xB0BC   ,갹,0xB0BD   ,갼,0xB0BE
걀,0xB0BF   ,걋,0xB0C0   ,걍,0xB0C1   ,걔,0xB0C2   ,걘,0xB0C3
걜,0xB0C4   ,거,0xB0C5   ,걱,0xB0C6   ,건,0xB0C7   ,걷,0xB0C8
걸,0xB0C9   ,걺,0xB0CA   ,검,0xB0CB   ,겁,0xB0CC   ,것,0xB0CD
겄,0xB0CE   ,겅,0xB0CF   ,겆,0xB0D0   ,겉,0xB0D1   ,겊,0xB0D2
겋,0xB0D3   ,게,0xB0D4   ,겐,0xB0D5   ,겔,0xB0D6   ,겜,0xB0D7
겝,0xB0D8   ,겟,0xB0D9   ,겠,0xB0DA   ,겡,0xB0DB   ,겨,0xB0DC
격,0xB0DD   ,겪,0xB0DE   ,견,0xB0DF   ,겯,0xB0E0   ,결,0xB0E1
겸,0xB0E2   ,겹,0xB0E3   ,겻,0xB0E4   ,겼,0xB0E5   ,경,0xB0E6
곁,0xB0E7   ,계,0xB0E8   ,곈,0xB0E9   ,곌,0xB0EA   ,곕,0xB0EB
곗,0xB0EC   ,고,0xB0ED   ,곡,0xB0EE   ,곤,0xB0EF   ,곧,0xB0F0
